scene_id,tier,ndvi_mean,quality_flag
LC08_L2SP_127041_20180607_20200831_02_T1,T1,0.5314192175865173,valid
LC08_L2SP_127041_20180826_20200831_02_T1,T1,0.4789855480194092,valid
LC08_L2SP_127041_20190813_20200827_02_T1,T1,0.5639354586601257,valid
LC08_L2SP_127041_20201018_20201105_02_T2,T2,-0.0081684440374374,cloud_contaminated
LC08_L2SP_127041_20210802_20210811_02_T1,T1,0.53181391954422,valid
LC08_L2SP_127041_20211005_20211013_02_T1,T1,0.435241550207138,valid
LC08_L2SP_127041_20220906_20220914_02_T1,T1,0.4865680932998657,valid
LC08_L2SP_127041_20240826_20240831_02_T1,T1,0.503898024559021,valid
LC08_L2SP_127041_20250509_20250514_02_T1,T1,0.4821777641773224,valid
LC08_L2SP_127042_20151005_20200908_02_T2,T2,-0.0101582333445549,cloud_contaminated
LC08_L2SP_127042_20161108_20200905_02_T2,T2,0.0058677778579294,cloud_contaminated
LC08_L2SP_127042_20170503_20200904_02_T1,T1,0.4467349350452423,valid
LC08_L2SP_127042_20190914_20200826_02_T1,T1,0.4676423668861389,valid
LC08_L2SP_127042_20201119_20210315_02_T1,T1,0.3851579427719116,valid
LC09_L2SP_127041_20220813_20230402_02_T1,T1,0.4893930554389953,valid
LC09_L2SP_127041_20230901_20230903_02_T1,T1,0.5339359045028687,valid
LC09_L2SP_127041_20250501_20250502_02_T1,T1,0.4665527045726776,valid
LC09_L2SP_127042_20231120_20231121_02_T1,T1,0.4242470562458038,valid
LC09_L2SP_127042_20240903_20240904_02_T1,T1,0.5162439942359924,valid
