scene_id,sensor,spacecraft,path,row,acquisition_date,scene_center_time,cloud_cover,cloud_cover_land,sun_azimuth,sun_elevation,tier,utm_zone,reflectance_mult_b4,reflectance_add_b4,reflectance_mult_b5,reflectance_add_b5,b4_output,b5_output,status
LC08_L2SP_127041_20180607_20200831_02_T1,LC08,LANDSAT_8,127,41,2018-06-07,03:20:36.9443150Z,2.79,2.79,97.90244417,69.0241044,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20180607_20200831_02_T1\LC08_L2SP_127041_20180607_20200831_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20180607_20200831_02_T1\LC08_L2SP_127041_20180607_20200831_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20180826_20200831_02_T1,LC08,LANDSAT_8,127,41,2018-08-26,03:21:20.4354119Z,19.69,19.69,123.3642252,62.33832971,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20180826_20200831_02_T1\LC08_L2SP_127041_20180826_20200831_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20180826_20200831_02_T1\LC08_L2SP_127041_20180826_20200831_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20190813_20200827_02_T1,LC08,LANDSAT_8,127,41,2019-08-13,03:21:56.8840619Z,0.03,0.03,114.86779654,64.48804177,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20190813_20200827_02_T1\LC08_L2SP_127041_20190813_20200827_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20190813_20200827_02_T1\LC08_L2SP_127041_20190813_20200827_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20201018_20201105_02_T2,LC08,LANDSAT_8,127,41,2020-10-18,03:22:09.6970590Z,3.14,3.14,151.25877364,48.57783024,T2,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20201018_20201105_02_T2\LC08_L2SP_127041_20201018_20201105_02_T2_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20201018_20201105_02_T2\LC08_L2SP_127041_20201018_20201105_02_T2_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20210802_20210811_02_T1,LC08,LANDSAT_8,127,41,2021-08-02,03:21:53.2877450Z,9.81,9.81,108.45124753,65.71325456,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20210802_20210811_02_T1\LC08_L2SP_127041_20210802_20210811_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20210802_20210811_02_T1\LC08_L2SP_127041_20210802_20210811_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20211005_20211013_02_T1,LC08,LANDSAT_8,127,41,2021-10-05,03:22:12.4073050Z,16.42,16.42,146.50010881,52.60642791,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20211005_20211013_02_T1\LC08_L2SP_127041_20211005_20211013_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20211005_20211013_02_T1\LC08_L2SP_127041_20211005_20211013_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20220906_20220914_02_T1,LC08,LANDSAT_8,127,41,2022-09-06,03:22:23.1152090Z,0.56,0.56,130.87004071,60.32243411,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20220906_20220914_02_T1\LC08_L2SP_127041_20220906_20220914_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20220906_20220914_02_T1\LC08_L2SP_127041_20220906_20220914_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20240826_20240831_02_T1,LC08,LANDSAT_8,127,41,2024-08-26,03:21:34.6627280Z,6.98,6.98,123.78290091,62.2709529,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20240826_20240831_02_T1\LC08_L2SP_127041_20240826_20240831_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20240826_20240831_02_T1\LC08_L2SP_127041_20240826_20240831_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127041_20250509_20250514_02_T1,LC08,LANDSAT_8,127,41,2025-05-09,03:21:11.7269909Z,6.98,6.98,111.7825522,67.4448158,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127041_20250509_20250514_02_T1\LC08_L2SP_127041_20250509_20250514_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127041_20250509_20250514_02_T1\LC08_L2SP_127041_20250509_20250514_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127042_20151005_20200908_02_T2,LC08,LANDSAT_8,127,42,2015-10-05,03:22:14.5072090Z,11.99,11.99,144.68889004,53.78164403,T2,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127042_20151005_20200908_02_T2\LC08_L2SP_127042_20151005_20200908_02_T2_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127042_20151005_20200908_02_T2\LC08_L2SP_127042_20151005_20200908_02_T2_SR_B5_reflectance.tif,processed
LC08_L2SP_127042_20161108_20200905_02_T2,LC08,LANDSAT_8,127,42,2016-11-08,03:22:33.2823620Z,8.14,8.14,154.82732542,43.60199638,T2,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127042_20161108_20200905_02_T2\LC08_L2SP_127042_20161108_20200905_02_T2_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127042_20161108_20200905_02_T2\LC08_L2SP_127042_20161108_20200905_02_T2_SR_B5_reflectance.tif,processed
LC08_L2SP_127042_20170503_20200904_02_T1,LC08,LANDSAT_8,127,42,2017-05-03,03:21:29.7753969Z,13.38,13.38,111.96617715,66.83785429,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127042_20170503_20200904_02_T1\LC08_L2SP_127042_20170503_20200904_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127042_20170503_20200904_02_T1\LC08_L2SP_127042_20170503_20200904_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127042_20190914_20200826_02_T1,LC08,LANDSAT_8,127,42,2019-09-14,03:22:29.4483870Z,18.67,18.67,133.45305422,59.35574044,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127042_20190914_20200826_02_T1\LC08_L2SP_127042_20190914_20200826_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127042_20190914_20200826_02_T1\LC08_L2SP_127042_20190914_20200826_02_T1_SR_B5_reflectance.tif,processed
LC08_L2SP_127042_20201119_20210315_02_T1,LC08,LANDSAT_8,127,42,2020-11-19,03:22:31.7476590Z,20.36,20.36,155.88453752,40.80809724,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC08_L2SP_127042_20201119_20210315_02_T1\LC08_L2SP_127042_20201119_20210315_02_T1_SR_B4_reflectance.tif,data\processed\LC08_L2SP_127042_20201119_20210315_02_T1\LC08_L2SP_127042_20201119_20210315_02_T1_SR_B5_reflectance.tif,processed
LC09_L2SP_127041_20220813_20230402_02_T1,LC09,LANDSAT_9,127,41,2022-08-13,03:22:00.4748200Z,18.13,18.13,115.00041178,64.42316413,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC09_L2SP_127041_20220813_20230402_02_T1\LC09_L2SP_127041_20220813_20230402_02_T1_SR_B4_reflectance.tif,data\processed\LC09_L2SP_127041_20220813_20230402_02_T1\LC09_L2SP_127041_20220813_20230402_02_T1_SR_B5_reflectance.tif,processed
LC09_L2SP_127041_20230901_20230903_02_T1,LC09,LANDSAT_9,127,41,2023-09-01,03:21:46.2014140Z,4.68,4.68,127.27959032,61.3099637,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC09_L2SP_127041_20230901_20230903_02_T1\LC09_L2SP_127041_20230901_20230903_02_T1_SR_B4_reflectance.tif,data\processed\LC09_L2SP_127041_20230901_20230903_02_T1\LC09_L2SP_127041_20230901_20230903_02_T1_SR_B5_reflectance.tif,processed
LC09_L2SP_127041_20250501_20250502_02_T1,LC09,LANDSAT_9,127,41,2025-05-01,03:21:33.0806990Z,6.34,6.34,116.51498866,66.13858505,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC09_L2SP_127041_20250501_20250502_02_T1\LC09_L2SP_127041_20250501_20250502_02_T1_SR_B4_reflectance.tif,data\processed\LC09_L2SP_127041_20250501_20250502_02_T1\LC09_L2SP_127041_20250501_20250502_02_T1_SR_B5_reflectance.tif,processed
LC09_L2SP_127042_20231120_20231121_02_T1,LC09,LANDSAT_9,127,42,2023-11-20,03:22:27.9330100Z,0.07,0.07,155.85262833,40.72759415,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC09_L2SP_127042_20231120_20231121_02_T1\LC09_L2SP_127042_20231120_20231121_02_T1_SR_B4_reflectance.tif,data\processed\LC09_L2SP_127042_20231120_20231121_02_T1\LC09_L2SP_127042_20231120_20231121_02_T1_SR_B5_reflectance.tif,processed
LC09_L2SP_127042_20240903_20240904_02_T1,LC09,LANDSAT_9,127,42,2024-09-03,03:21:57.2436310Z,8.42,8.42,126.56451836,61.41670863,T1,48,2e-05,-0.1,2e-05,-0.1,data\processed\LC09_L2SP_127042_20240903_20240904_02_T1\LC09_L2SP_127042_20240903_20240904_02_T1_SR_B4_reflectance.tif,data\processed\LC09_L2SP_127042_20240903_20240904_02_T1\LC09_L2SP_127042_20240903_20240904_02_T1_SR_B5_reflectance.tif,processed
