point_id,region,x,y,LC08_L2SP_127042_20151005_20200908_02_T2,LC08_L2SP_127042_20161108_20200905_02_T2,LC08_L2SP_127042_20170503_20200904_02_T1,LC08_L2SP_127041_20180607_20200831_02_T1,LC08_L2SP_127041_20180826_20200831_02_T1,LC08_L2SP_127041_20190813_20200827_02_T1,LC08_L2SP_127042_20190914_20200826_02_T1,LC08_L2SP_127041_20201018_20201105_02_T2,LC08_L2SP_127042_20201119_20210315_02_T1,LC08_L2SP_127041_20210802_20210811_02_T1,LC08_L2SP_127041_20211005_20211013_02_T1,LC09_L2SP_127041_20220813_20230402_02_T1,LC08_L2SP_127041_20220906_20220914_02_T1,LC09_L2SP_127041_20230901_20230903_02_T1,LC09_L2SP_127042_20231120_20231121_02_T1,LC08_L2SP_127041_20240826_20240831_02_T1,LC09_L2SP_127042_20240903_20240904_02_T1,LC09_L2SP_127041_20250501_20250502_02_T1,LC08_L2SP_127041_20250509_20250514_02_T1
P001,urban,676610.8264357075,2950124.2549413512,-0.015428055077791214,0.0074310810305178165,0.2851583659648895,0.6137906312942505,0.5434245467185974,0.5957168936729431,0.11700186133384705,-0.009540888480842113,0.527146577835083,0.5986766219139099,0.3487423062324524,0.6504221558570862,0.5918089747428894,0.6149368286132812,0.5412132143974304,0.6137222051620483,0.6053236722946167,0.5361695289611816,0.5816164612770081
P002,urban,707236.1088175003,2951025.0926278196,-0.0254663173109293,0.0016913260333240032,0.6191451549530029,0.611065149307251,0.2710273861885071,0.5573259592056274,0.5403333902359009,-0.004626462236046791,0.3968958258628845,0.5620396733283997,0.5780136585235596,0.6157991886138916,0.5632064938545227,0.5755350589752197,0.33493924140930176,0.6075197458267212,0.5847622752189636,0.5752212405204773,0.5929481983184814
P003,urban,636594.771358835,2956733.458752731,-0.012973025441169739,0.005987027194350958,0.3809587061405182,0.35141387581825256,0.41858986020088196,0.41133707761764526,0.4071343243122101,-0.0072935824282467365,0.3178645074367523,0.44006025791168213,0.37780019640922546,0.17625927925109863,0.39741194248199463,0.4271995425224304,0.42067328095436096,0.41868895292282104,0.3905620574951172,0.35744228959083557,0.37663930654525757
P004,urban,635178.4565324171,2957068.351911491,-0.011972140520811081,0.006954042706638575,0.34583333134651184,0.5573357939720154,0.5378656387329102,0.5344808101654053,0.5214550495147705,-0.006279225926846266,0.30790701508522034,0.5831999778747559,0.4527110755443573,0.5966522693634033,0.4072703719139099,0.4277234375476837,0.38526102900505066,0.21328051388263702,0.44192269444465637,0.3402436077594757,0.37743958830833435
P005,urban,630758.611072018,2958349.7812199937,-0.011087610386312008,0.0013906719395890832,0.6178845167160034,0.6306641697883606,0.3453775942325592,0.6195628643035889,0.15906378626823425,-0.0026151412166655064,0.11950898915529251,0.6653298139572144,0.483193576335907,0.6633129119873047,0.6015973091125488,0.4000692367553711,0.5140969753265381,0.6438137888908386,0.6324536800384521,0.5284664630889893,0.6054843068122864
P006,urban,716293.0111856968,2962347.1755261943,-0.017768146470189095,0.002218976616859436,0.5872995853424072,0.5284988880157471,0.1911434531211853,0.5604515671730042,0.5649469494819641,0.0004714636888820678,0.03736432269215584,0.5695616602897644,0.22338491678237915,0.5907780528068542,0.5506039261817932,0.11965486407279968,0.5209047794342041,0.5683894157409668,0.5551457405090332,0.5270031690597534,0.5395352244377136
P007,urban,626557.4479108112,2966908.9667714047,-0.010187148116528988,0.007967953570187092,0.3463400602340698,0.5039106607437134,0.41096192598342896,0.5144873261451721,0.36675238609313965,0.001758368918672204,0.27192556858062744,0.10950549691915512,0.32597625255584717,0.5550519227981567,0.37724319100379944,0.4336307942867279,0.3044297695159912,0.36996132135391235,0.3369743227958679,0.26028794050216675,0.2862960398197174
P008,urban,721752.6687692222,2959677.030222389,-0.018849357962608337,0.004268354270607233,0.3519173264503479,0.6011125445365906,0.5692964196205139,0.5635796785354614,0.519561767578125,-0.0017812694422900677,0.16832256317138672,0.6097914576530457,0.13559478521347046,0.6287016272544861,0.47061750292778015,0.5742009878158569,0.46118491888046265,0.05061576887965202,0.5502495765686035,0.5578618049621582,0.603986918926239
P009,suburban,723683.5063347834,2954856.8194483086,-0.01598718762397766,0.0067925825715065,0.24622775614261627,0.6369243264198303,0.6468703150749207,0.6149319410324097,0.5868245959281921,0.011066298000514507,0.25976812839508057,0.626537024974823,0.5531857013702393,0.6645871996879578,0.5857738256454468,0.6336066126823425,0.39708107709884644,0.19387929141521454,0.6228419542312622,0.6173630356788635,0.634918212890625
P010,suburban,723925.7756017251,2933779.261131986,-0.012550003826618195,0.0010673801880329847,0.45738711953163147,0.6020925045013428,0.16076728701591492,0.6216336488723755,0.6231623291969299,-0.004855008330196142,0.4884066581726074,0.6509990692138672,0.07047076523303986,0.06838080286979675,0.6264917850494385,0.629868745803833,0.5326796174049377,0.6318336129188538,0.6193578839302063,0.43455997109413147,0.4802386462688446
P011,suburban,615349.1393106898,2956316.7659358843,-0.00626740837469697,0.011449586600065231,0.07687971740961075,0.04247985780239105,0.11487307399511337,0.12738482654094696,0.042110592126846313,0.007485749199986458,0.18547341227531433,0.09952453523874283,0.05768195912241936,0.24459587037563324,0.08135297149419785,0.14352118968963623,0.06086661294102669,0.028798310086131096,0.03021855093538761,0.19968445599079132,0.21373949944972992
P012,suburban,734638.4938604804,2945067.890125723,-0.01754765957593918,-0.003624317701905966,0.4137144684791565,0.618492841720581,0.2736891210079193,0.6142932176589966,0.23885679244995117,-0.004878584761172533,0.3411046862602234,0.443990558385849,0.29157817363739014,0.2828843593597412,0.57049161195755,0.6244872212409973,0.44796261191368103,0.6364855170249939,0.5715373158454895,0.542432963848114,0.4927011728286743
P013,suburban,735341.097974984,2934752.3826757492,-0.026922408491373062,-0.0018760624807327986,0.39683809876441956,0.4781687557697296,0.18505273759365082,0.5451968312263489,0.4054688811302185,-0.011755433864891529,0.23212930560112,0.4220070242881775,0.03661497309803963,0.5062540173530579,0.37870359420776367,0.5681602358818054,0.40792137384414673,0.2558138966560364,0.3527422547340393,0.4795345664024353,0.46875
