region,year,mean,std,count
urban,2015,-0.01546647516079247,0.005102006927694382,8
suburban,2015,-0.013591991000187894,0.0056537185063677275,12
urban,2016,0.0047386791702592745,0.0027047331355389607,8
suburban,2016,0.004610299981626061,0.004984618179073135,12
urban,2017,0.44181713089346886,0.1405431042919713,8
suburban,2017,0.34680075633029145,0.14007620283208852,12
urban,2018,0.4803424086421728,0.08528842104294641,8
suburban,2018,0.43202745262533426,0.16920226263833765,12
urban,2019,0.47207448072731495,0.08214578946437368,8
suburban,2019,0.4462349306171139,0.1849445004094717,12
urban,2020,0.13231428954350122,0.07716699552813447,8
suburban,2020,0.10064062691526487,0.08062797729610971,12
urban,2021,0.44147385796532035,0.11887471841620167,8
suburban,2021,0.37857818820824224,0.15342890848718702,12
urban,2022,0.52729607000947,0.11232330341589539,8
suburban,2022,0.40062798152697116,0.15427308166866266,12
urban,2023,0.4409783724695444,0.08138768192612446,8
suburban,2023,0.4257503650151193,0.1557510348683861,12
urban,2024,0.47396160825155675,0.140827577445897,8
suburban,2024,0.40861316366742056,0.18448071428088092,12
urban,2025,0.47791513055562973,0.12408427596586408,8
suburban,2025,0.41708320938050747,0.134943594014533,12
